플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,박득천,1.4,1,1,2,30.8,49,26.766233766233768,824.4
SOOP,박현정,3.2,4,5,1,100.9,29,19.05153617443013,1922.3
SOOP,화여니,4.4,2,2,8,14.4,36,25.86111111111111,372.4
치지직,헌재HeonJae,6.8,6,10,4,55.3,26,11.291139240506329,624.4
치지직,도그홀,8.2,9,9,7,31.9,24,12.075235109717868,385.2
치지직,차금지,9.8,11,13,6,37.7,23,10.612732095490717,400.1
치지직,쿠시쿠리,11,9,4,19,5.2,24,20,104
SOOP,서경주,11.6,16,18,3,89.1,17,9.001122334455667,802
치지직,렛 삐,13.4,3,3,29,3.2,32,21.6875,69.4
치지직,새롬이 Saeromi,13.6,18,14,11,29.7,16,9.673400673400673,287.3
치지직,유건 패브로,14.6,11,22,9,42.4,23,8.450471698113208,358.3
치지직,유함이,15.8,15,17,15,21.4,18,9.018691588785046,193
치지직,릴쓰,16,6,23,14,25.9,26,8.40926640926641,217.8
치지직,세모개미,16.4,6,7,31,4.3,26,14.395348837209303,61.9
치지직,융 쁘,16.4,4,6,33,3,29,18.933333333333334,56.8
치지직,미토키,16.6,11,8,28,5.9,23,12.457627118644067,73.5
치지직,루 니,18,16,20,17,15.3,17,8.65359477124183,132.4
치지직,렉 시,18.4,14,34,5,90.3,21,6.08859357696567,549.8
치지직,혜지는혜지,21,21,29,13,37.5,14,6.538666666666667,245.2
SOOP,Rity~,22.2,21,15,30,6.9,14,9.289855072463768,64.1
치지직,아기노랑,22.2,19,36,10,54.8,15,5.4653284671532845,299.5
치지직,백범자,22.6,21,26,20,12.7,14,7.425196850393701,94.3
치지직,쇼 시,25.4,21,16,37,5.1,14,9.196078431372548,46.9
치지직,다우리,27.4,19,11,48,3.3,15,10.787878787878787,35.6
치지직,추계절,28,26,12,45,3.6,13,10.63888888888889,38.3
치지직,나지안,28.4,32,43,12,65.8,10,4.089665653495441,269.1
SOOP,도그홀,31.2,40,40,18,22.4,8,4.709821428571429,105.5
치지직,뱀용,33.2,30,30,38,7.2,11,6.361111111111111,45.8
치지직,세라몬,34,32,35,34,10,10,5.64,56.4
치지직,펜리르405,34.4,32,28,42,5.8,10,6.896551724137931,40
치지직,현은빈,34.8,26,27,47,5.1,13,7.294117647058823,37.2
SOOP,아라리_-,35.6,28,19,56,3.1,12,8.774193548387096,27.2
치지직,서제리,36.8,40,56,16,56.5,8,3.320353982300885,187.6
치지직,MULTISSUE,37.2,38,47,27,20.5,9,3.7560975609756095,77
치지직,김망고SS2,38.4,32,54,26,22.7,10,3.449339207048458,78.3
치지직,연낭찬,38.4,28,60,22,28.1,12,3.2313167259786475,90.8
치지직,마하라지,39,21,25,62,2.8,14,7.821428571428571,21.9
치지직,니마,39.2,32,57,25,24,10,3.3125,79.5
치지직,련히,42.4,40,31,55,4.4,8,6.2727272727272725,27.6
치지직,나 견,42.8,40,41,46,8.6,8,4.395348837209302,37.8
치지직,솜탕Somtang,44,30,24,71,2,11,8.3,16.6
치지직,어캐,44.4,40,39,52,6.2,8,4.790322580645161,29.7
치지직,제이백 J BACK,44.4,40,50,41,11.5,8,3.617391304347826,41.6
SOOP,달리미르,45.6,50,32,57,4.1,7,6.219512195121951,25.5
치지직,지응자응,46.8,50,52,40,12.2,7,3.5737704918032787,43.6
치지직,마찌롱,47.2,32,33,69,2.8,10,6.178571428571429,17.3
SOOP,이산군,47.4,57,69,21,33,6,2.8545454545454545,94.2
SOOP,겜퐁,48,66,63,24,28.2,5,3.1347517730496453,88.4
치지직,독크햄,48.4,50,42,54,6.8,7,4.147058823529412,28.2
치지직,힛벨HitBell,50.8,40,49,58,6.6,8,3.6666666666666665,24.2
