플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,한동숙,1,1,1,1,2.8,13767,12250.892857142857,34302.5
치지직,풍월량,2,2,2,2,2.4,9772,7594.208333333333,18226.1
치지직,아야츠노 유니,4,4,5,3,5,3383,2907.86,14539.3
치지직,아라하시 타비,4.2,5,4,4,4.2,3325,3078.1190476190477,12928.1
SOOP,두치와뿌꾸,5,3,3,8,1.6,4828,3278.625,5245.8
치지직,시라유키 히나,6,6,6,6,2.7,3229,2828.5925925925926,7637.2
치지직,네네코 마시로,6.8,8,8,5,4.3,2429,2210.6744186046512,9505.9
치지직,아오쿠모 린,7,7,7,7,2.4,3004,2520.1666666666665,6048.4
치지직,사키하네 후야,9,9,9,9,2.3,2303,2139.8260869565215,4921.6
치지직,끠월마녀,12.6,11,11,15,4.5,79,62.955555555555556,283.3
치지직,도그홀,13.2,12,15,12,29.2,36,15.678082191780822,457.8
SOOP,최은뽀1,15.2,10,10,23,1.4,91,76,106.4
치지직,님님잉,16.4,16,17,16,12.5,22,14.44,180.5
치지직,띵동 Ddingdong,16.6,15,20,14,30.6,24,11.483660130718954,351.4
SOOP,서경주,17.6,22,23,10,128.5,18,8.18988326848249,1052.4
치지직,융 쁘,18.2,13,12,27,2.8,34,27.75,77.7
치지직,노랑이에용,19.6,18,16,24,7.3,20,14.506849315068493,105.9
SOOP,오리넉구리,19.8,25,26,11,84.4,14,6.4774881516587675,546.7
치지직,쇼 시,21,23,22,19,15.5,17,10.412903225806451,161.4
치지직,나냐오 세라,21,21,21,21,11.9,19,11.302521008403362,134.5
치지직,만길,22.4,14,13,36,2.4,29,20.916666666666668,50.2
치지직,온쯔 eonjj,23,25,27,18,27,14,6.437037037037037,173.8
치지직,렉 시,24.2,27,34,13,74.2,13,5.0161725067385445,372.2
치지직,릴쓰,26.8,18,24,34,7.5,20,7.466666666666667,56
SOOP,박현정,27.6,24,31,26,16.9,16,5.355029585798817,90.5
SOOP,Soop바이칼,29,27,19,40,3.3,13,12.242424242424242,40.4
SOOP,Rity~,31.2,32,25,37,6.7,10,6.925373134328358,46.4
치지직,우에노 소이,31.6,18,18,52,1.9,20,13.68421052631579,26
치지직,유건 패브로,31.8,27,44,22,28.2,13,3.9397163120567376,111.1
치지직,미대곰,33.6,32,43,25,22.8,10,3.991228070175439,91
치지직,Walker 게임채널,34,32,37,32,14.1,10,4.73758865248227,66.8
치지직,독특,34.4,32,42,28,18.8,10,4.111702127659575,77.3
치지직,서제리,35.8,37,54,17,52.3,9,3.4053537284894837,178.1
치지직,까마귀0,36,16,14,68,0.4,22,15.75,6.3
치지직,나지안,36.6,31,30,46,5.7,11,5.421052631578948,30.9
치지직,콜슝이,36.8,32,46,30,18.3,10,3.8852459016393444,71.1
치지직,깨액,39,27,28,56,3.8,13,5.684210526315789,21.6
SOOP,꼬꼬돌이,39.6,60,49,20,35.7,5,3.7899159663865545,135.3
치지직,서젼,41.8,37,55,31,21.5,9,3.130232558139535,67.3
SOOP,식스_-,42.8,40,29,58,3.4,8,5.588235294117647,19
치지직,데굴알밤,43.6,40,50,39,11.3,8,3.734513274336283,42.2
SOOP,겜퐁,44.4,60,52,29,20.6,5,3.621359223300971,74.6
치지직,l베스타,44.4,40,38,53,5.1,8,4.7254901960784315,24.1
치지직,김율1,45.8,37,53,43,10,9,3.56,35.6
SOOP,이산군,46.4,60,45,41,10.2,5,3.9019607843137254,39.8
치지직,연 찬,46.4,40,63,33,24.7,8,2.5465587044534415,62.9
치지직,MULTISSUE,46.6,45,35,59,3.7,7,4.837837837837838,17.9
치지직,키마곤,46.6,45,59,35,19.3,7,2.8341968911917097,54.7
SOOP,emotal5,47.2,60,41,47,6.5,5,4.230769230769231,27.5
치지직,펭리,48,40,33,67,1.6,8,5.0625,8.1
SOOP,달리미르,48.6,45,61,38,17.1,7,2.6315789473684212,45
치지직,팍씨 parkssi,49,45,39,61,3.2,7,4.59375,14.7
SOOP,도그홀,49.4,53,40,57,4.6,6,4.391304347826087,20.2
치지직,독크햄,51.4,45,36,70,1.2,7,4.833333333333333,5.8
치지직,마아초,52.2,53,60,44,12.4,6,2.7419354838709675,34
SOOP,화리TV,53.4,69,48,51,6.9,4,3.7971014492753623,26.2
치지직,솜탕Somtang,53.4,45,32,79,0.7,7,5.285714285714286,3.7
치지직,댕혁이,54.6,45,51,63,3.2,7,3.6875,11.8
SOOP,걍놀고싶어요,55,69,56,47,9.1,4,3.021978021978022,27.5
치지직,juh6634,55,53,57,54,7.6,6,2.9210526315789473,22.2
치지직,별밤율,55.8,53,64,49,10.8,6,2.5185185185185186,27.2
치지직,한돌v,57.4,53,75,42,21.2,6,1.7169811320754718,36.4
치지직,나는 조아요,57.8,53,58,60,5.9,6,2.8813559322033897,17
치지직,글여우,58.6,53,65,55,9.3,6,2.3333333333333335,21.7
치지직,게임조무사GameJomusa,61.2,60,78,45,21.2,5,1.509433962264151,32
치지직,푸른선장,61.6,60,47,77,1.1,5,3.8181818181818183,4.2
치지직,카포키오,64.4,60,62,69,2.4,5,2.5833333333333335,6.2
치지직,오리넉구리,67.2,60,88,50,76.3,5,0.3486238532110092,26.6
치지직,사이다 좋아하는 사람,68.2,45,77,71,3.4,7,1.6176470588235294,5.5
치지직,탕이TangI,68.6,69,66,71,2.4,4,2.2916666666666665,5.5
치지직,화리TV,69,69,76,62,7.1,4,1.676056338028169,11.9
치지직,백만봉,69.2,60,69,74,2.3,5,2.0434782608695654,4.7
치지직,박용호,72.2,69,80,66,6.2,4,1.3387096774193548,8.3
치지직,트냥이,72.2,69,68,78,1.8,4,2.1666666666666665,3.9
치지직,이누쿠진,72.6,77,67,76,2,3,2.25,4.5
치지직,Ssulgun1204,73,77,79,65,6.6,3,1.4090909090909092,9.3
치지직,댕이뾰이,73.8,77,73,73,2.7,3,1.962962962962963,5.3
치지직,이산군,74.2,69,87,64,20.8,4,0.47115384615384615,9.8
SOOP,Vesta,76.4,82,70,80,1.7,2,2,3.4
치지직,구륙2,77,69,74,84,1,4,1.8,1.8
치지직,카카보,79.6,82,70,88,0.4,2,2,0.8
치지직,초야TV,81.4,77,83,82,2.7,3,0.9259259259259259,2.5
치지직,니마,81.6,82,70,93,0.1,2,2,0.2
치지직,l전설l,83.2,82,84,83,2.3,2,0.8260869565217391,1.9
치지직,겜퐁,83.2,82,92,75,20.6,2,0.22330097087378642,4.6
치지직,최영화,83.2,82,82,85,1.6,2,1.0625,1.7
치지직,꿈은없고걍놀고싶어요,83.4,77,89,81,8.9,3,0.3146067415730337,2.8
치지직,타누키치P,83.6,82,81,87,1,2,1.1,1.1
치지직,오로치2,87.6,82,85,93,0.3,2,0.6666666666666666,0.2
치지직,백이청,88,82,93,86,5.5,2,0.21818181818181817,1.2
치지직,치킨마요맛집,88.6,91,86,90,0.8,1,0.5,0.4
치지직,Lussaphi,90.2,91,91,89,2.1,1,0.23809523809523808,0.5
치지직,베랭,91,91,90,92,1.1,1,0.2727272727272727,0.3
치지직,피산타,91.8,91,94,90,4,1,0.1,0.4
