플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
SOOP,화여니,91.5,61,36.895081967213116,3375.9
치지직,박득천,44.7,78,44.355704697986575,1982.7
SOOP,박현정,68.5,34,16.458394160583943,1127.4
SOOP,서경주,88.7,20,10.210822998872604,905.7
치지직,차금지,50.7,32,14.702169625246547,745.4
치지직,세모개미,39.3,46,18.595419847328245,730.8
치지직,Doman도만,46.2,36,13.954545454545455,644.7
치지직,렛 삐,17.8,50,31.741573033707866,565
치지직,끠월마녀,9.9,78,52.666666666666664,521.4
치지직,현은빈,32.9,33,14.410334346504559,474.1
치지직,뱀용,42.1,24,10.491686460807601,441.7
치지직,요루야,6,118,65.2,391.2
SOOP,Rity~,26.7,24,14.51685393258427,387.6
SOOP,피아__,42.6,17,8.868544600938968,377.8
SOOP,로지rozi,29,21,12.927586206896551,374.9
치지직,유함이,34.9,18,10.573065902578797,369
치지직,도그홀,24.5,25,12.746938775510204,312.3
치지직,l박정현l,56.3,15,5.531083481349911,311.4
치지직,IMAmurderer,63.8,14,4.590909090909091,292.9
치지직,방아방하,45.7,9,5.264770240700219,240.6
치지직,지응자응,29,22,8.286206896551723,240.3
치지직,유건 패브로,31.2,12,7.5993589743589745,237.1
치지직,쇼 시,37.4,10,5.553475935828877,207.7
치지직,깡누,20.1,18,10.18407960199005,204.7
치지직,Domy,21.1,28,9.516587677725118,200.8
치지직,다우리,16,18,12.43125,198.9
치지직,갑엇,35,11,5.634285714285714,197.2
SOOP,아라리_-,17.8,17,10.769662921348315,191.7
치지직,찬꾹,30.6,12,6.150326797385621,188.2
SOOP,치명적여사,14.2,20,13.211267605633802,187.6
치지직,릴쓰,12.9,27,14.449612403100776,186.4
치지직,빠라빵코,53.1,8,3.4915254237288136,185.4
치지직,아라리 Arari,18.2,35,9.456043956043956,172.1
치지직,키이로옐,36.9,9,4.439024390243903,163.8
SOOP,도그홀,39.1,6,4.173913043478261,163.2
SOOP,겜퐁,34.4,7,4.2063953488372094,144.7
치지직,융 쁘,5.2,36,27.78846153846154,144.5
치지직,겜보1,27.2,9,4.838235294117647,131.6
SOOP,유함이,19.3,12,6.6735751295336785,128.8
SOOP,핑빠리,9.3,17,13.602150537634408,126.5
치지직,아일린8초,31.1,12,3.8617363344051445,120.1
치지직,웍허,20.9,10,5.583732057416268,116.7
치지직,모모팡,6.6,29,16.393939393939394,108.2
치지직,어캐,21.5,9,4.641860465116279,99.8
치지직,CASKER,6,25,16.416666666666668,98.5
치지직,밤새버린요괴,28.2,8,3.3439716312056738,94.3
치지직,푸른선장,13,15,7.061538461538461,91.8
치지직,레붕,8.9,19,10.202247191011235,90.8
치지직,l전설l,25.3,9,3.5652173913043477,90.2
치지직,쿠우라기 후유,6.8,22,12.691176470588236,86.3
치지직,김soya,9.7,17,8.525773195876289,82.7
치지직,oyagato,7.4,16,10.972972972972974,81.2
SOOP,아일린8초,30.9,5,2.501618122977346,77.3
치지직,니마,26.1,8,2.942528735632184,76.8
치지직,고먐미님,8.4,18,8.75,73.5
