플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
치지직,한동숙,2.8,13767,12250.892857142857,34302.5
치지직,풍월량,2.4,9772,7594.208333333333,18226.1
치지직,아야츠노 유니,5,3383,2907.86,14539.3
치지직,아라하시 타비,4.2,3325,3078.1190476190477,12928.1
치지직,네네코 마시로,4.3,2429,2210.6744186046512,9505.9
치지직,시라유키 히나,2.7,3229,2828.5925925925926,7637.2
치지직,아오쿠모 린,2.4,3004,2520.1666666666665,6048.4
SOOP,두치와뿌꾸,1.6,4828,3278.625,5245.8
치지직,사키하네 후야,2.3,2303,2139.8260869565215,4921.6
SOOP,서경주,128.5,18,8.18988326848249,1052.4
SOOP,오리넉구리,84.4,14,6.4774881516587675,546.7
치지직,도그홀,29.2,36,15.678082191780822,457.8
치지직,렉 시,74.2,13,5.0161725067385445,372.2
치지직,띵동 Ddingdong,30.6,24,11.483660130718954,351.4
치지직,끠월마녀,4.5,79,62.955555555555556,283.3
치지직,님님잉,12.5,22,14.44,180.5
치지직,서제리,52.3,9,3.4053537284894837,178.1
치지직,온쯔 eonjj,27,14,6.437037037037037,173.8
치지직,쇼 시,15.5,17,10.412903225806451,161.4
SOOP,꼬꼬돌이,35.7,5,3.7899159663865545,135.3
치지직,나냐오 세라,11.9,19,11.302521008403362,134.5
치지직,유건 패브로,28.2,13,3.9397163120567376,111.1
SOOP,최은뽀1,1.4,91,76,106.4
치지직,노랑이에용,7.3,20,14.506849315068493,105.9
치지직,미대곰,22.8,10,3.991228070175439,91
SOOP,박현정,16.9,16,5.355029585798817,90.5
치지직,융 쁘,2.8,34,27.75,77.7
치지직,독특,18.8,10,4.111702127659575,77.3
SOOP,겜퐁,20.6,5,3.621359223300971,74.6
치지직,콜슝이,18.3,10,3.8852459016393444,71.1
치지직,서젼,21.5,9,3.130232558139535,67.3
치지직,Walker 게임채널,14.1,10,4.73758865248227,66.8
치지직,연 찬,24.7,8,2.5465587044534415,62.9
치지직,릴쓰,7.5,20,7.466666666666667,56
치지직,키마곤,19.3,7,2.8341968911917097,54.7
치지직,만길,2.4,29,20.916666666666668,50.2
SOOP,Rity~,6.7,10,6.925373134328358,46.4
SOOP,달리미르,17.1,7,2.6315789473684212,45
치지직,데굴알밤,11.3,8,3.734513274336283,42.2
SOOP,Soop바이칼,3.3,13,12.242424242424242,40.4
SOOP,이산군,10.2,5,3.9019607843137254,39.8
치지직,한돌v,21.2,6,1.7169811320754718,36.4
치지직,김율1,10,9,3.56,35.6
치지직,마아초,12.4,6,2.7419354838709675,34
치지직,게임조무사GameJomusa,21.2,5,1.509433962264151,32
치지직,나지안,5.7,11,5.421052631578948,30.9
SOOP,emotal5,6.5,5,4.230769230769231,27.5
SOOP,걍놀고싶어요,9.1,4,3.021978021978022,27.5
치지직,별밤율,10.8,6,2.5185185185185186,27.2
치지직,오리넉구리,76.3,5,0.3486238532110092,26.6
SOOP,화리TV,6.9,4,3.7971014492753623,26.2
치지직,우에노 소이,1.9,20,13.68421052631579,26
치지직,l베스타,5.1,8,4.7254901960784315,24.1
치지직,juh6634,7.6,6,2.9210526315789473,22.2
치지직,글여우,9.3,6,2.3333333333333335,21.7
치지직,깨액,3.8,13,5.684210526315789,21.6
SOOP,도그홀,4.6,6,4.391304347826087,20.2
SOOP,식스_-,3.4,8,5.588235294117647,19
치지직,MULTISSUE,3.7,7,4.837837837837838,17.9
치지직,나는 조아요,5.9,6,2.8813559322033897,17
치지직,팍씨 parkssi,3.2,7,4.59375,14.7
치지직,화리TV,7.1,4,1.676056338028169,11.9
치지직,댕혁이,3.2,7,3.6875,11.8
치지직,이산군,20.8,4,0.47115384615384615,9.8
치지직,Ssulgun1204,6.6,3,1.4090909090909092,9.3
치지직,박용호,6.2,4,1.3387096774193548,8.3
치지직,펭리,1.6,8,5.0625,8.1
치지직,까마귀0,0.4,22,15.75,6.3
치지직,카포키오,2.4,5,2.5833333333333335,6.2
치지직,독크햄,1.2,7,4.833333333333333,5.8
치지직,탕이TangI,2.4,4,2.2916666666666665,5.5
치지직,사이다 좋아하는 사람,3.4,7,1.6176470588235294,5.5
치지직,댕이뾰이,2.7,3,1.962962962962963,5.3
치지직,백만봉,2.3,5,2.0434782608695654,4.7
치지직,겜퐁,20.6,2,0.22330097087378642,4.6
치지직,이누쿠진,2,3,2.25,4.5
치지직,푸른선장,1.1,5,3.8181818181818183,4.2
치지직,트냥이,1.8,4,2.1666666666666665,3.9
치지직,솜탕Somtang,0.7,7,5.285714285714286,3.7
SOOP,Vesta,1.7,2,2,3.4
치지직,꿈은없고걍놀고싶어요,8.9,3,0.3146067415730337,2.8
치지직,초야TV,2.7,3,0.9259259259259259,2.5
치지직,l전설l,2.3,2,0.8260869565217391,1.9
치지직,구륙2,1,4,1.8,1.8
치지직,최영화,1.6,2,1.0625,1.7
치지직,백이청,5.5,2,0.21818181818181817,1.2
치지직,타누키치P,1,2,1.1,1.1
치지직,카카보,0.4,2,2,0.8
치지직,Lussaphi,2.1,1,0.23809523809523808,0.5
치지직,치킨마요맛집,0.8,1,0.5,0.4
치지직,피산타,4,1,0.1,0.4
치지직,베랭,1.1,1,0.2727272727272727,0.3
치지직,니마,0.1,2,2,0.2
치지직,오로치2,0.3,2,0.6666666666666666,0.2
