플랫폼,날짜,방송시간,최고 활성 스트리머,평균 활성 스트리머,6분 최고채팅,6분 평균 채팅수,최고 시청자,평균 시청자,뷰어십 (평균*방송시간)
SOOP,2026.03.02 (월),16,13,13,87,19,105,62,996
치지직,2026.03.02 (월),24,76,76,154,42,181,67,1609
SOOP,2026.02.23 (월),148,15,10,97,6,79,25,3666
치지직,2026.02.23 (월),166.1,57,50,240,39,160,50,8281
SOOP,2026.02.16 (월),142.4,14,11,120,12,101,40,5685
치지직,2026.02.16 (월),163.5,62,52,256,41,172,54,8879
SOOP,2026.02.09 (월),151.4,14,9,106,10,118,40,6024
치지직,2026.02.09 (월),168,73,63,288,54,209,69,11645
SOOP,2026.02.02 (월),150.1,17,15,108,12,133,53,7974
치지직,2026.02.02 (월),167.2,81,75,296,62,258,85,14230
SOOP,2026.01.26 (월),166,23,19,101,10,112,45,7493
치지직,2026.01.26 (월),168,92,83,291,75,737,108,18181
SOOP,2026.01.19 (월),152.3,23,20,254,11,145,49,7462
치지직,2026.01.19 (월),168,107,97,255,81,888,119,19945
SOOP,2026.01.12 (월),77.7,23,21,156,13,132,53,4103
치지직,2026.01.12 (월),168,121,107,478,107,1433,170,28567
SOOP,2026.01.05 (월),167.7,28,25,326,15,1015,69,11540
치지직,2026.01.05 (월),168,123,116,348,98,407,141,23747
SOOP,2025.12.29 (월),166.2,32,29,187,17,677,83,13843
치지직,2025.12.29 (월),168,142,126,429,99,409,148,24922
SOOP,2025.12.22 (월),158.1,38,33,416,21,901,111,17501
치지직,2025.12.22 (월),168,140,133,439,107,745,185,31156
SOOP,2025.12.15 (월),164.9,39,34,3198,79,11889,693,114303
치지직,2025.12.15 (월),168,147,131,1655,134,13743,442,74272
SOOP,2025.12.08 (월),167.5,39,35,166,22,220,84,14068
치지직,2025.12.08 (월),168,162,145,13115,295,52590,1415,237728
SOOP,2025.12.01 (월),166.4,90,45,1272,35,1492,142,23687
치지직,2025.12.01 (월),168,173,158,1018,160,10301,350,58840
SOOP,2025.11.24 (월),168,108,69,517,58,1924,324,54376
치지직,2025.11.24 (월),168,224,196,1746,202,4952,579,97354
SOOP,2025.11.17 (월),168,118,88,532,76,3474,555,93250
치지직,2025.11.17 (월),168,324,263,6417,557,30333,3441,578052
SOOP,2025.11.10 (월),168,133,125,1797,241,13325,2427,407711
치지직,2025.11.10 (월),168,329,302,7735,629,39368,3747,629511
SOOP,2025.11.03 (월),166.1,121,91,2243,270,17784,3402,565018
치지직,2025.11.03 (월),168,299,276,3227,422,20539,3026,508373
SOOP,2025.10.27 (월),84.4,132,33,3996,137,20885,2081,175624
치지직,2025.10.27 (월),97.3,238,127,3609,397,20582,3349,325845
SOOP,2025.10.20 (월),13.8,5,5,11,1,19,4,60
치지직,2025.10.20 (월),26.3,90,31,290,37,673,124,3259
SOOP,2025.10.13 (월),47.9,24,17,1101,89,4595,430,20599
치지직,2025.10.13 (월),59.1,307,166,2441,315,14251,2542,150223
치지직,2025.09.22 (월),0.1,1,1,0,0,1,1,0
