플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,풍월량,1.4,1,2,1,28.2,16986,12582.687943262412,354831.8
치지직,한동숙,2,2,1,3,13.8,16608,12692.101449275362,175151
치지직,괴물쥐,3.4,5,4,2,28,8697,6704.185714285714,187717.2
SOOP,타요*,3.4,3,3,4,20.3,10739,8148.403940886699,165412.6
치지직,탬탬버린,4.8,4,5,5,11.6,8853,6263.017241379311,72651
치지직,텐코 시부키,6,6,6,6,10.1,7417,6229.415841584158,62917.1
치지직,아라하시 타비,8.2,9,9,7,11.4,5853,4178.201754385965,47631.5
치지직,네네코 마시로,9.8,7,8,13,6,5927,5025.8,30154.8
치지직,다주,11,11,10,12,7.7,5222,4114.025974025974,31678
치지직,서새봄냥 SEBOM,12,10,14,11,9.7,5380,3404.4123711340208,33022.8
SOOP,비챤,12.8,12,12,14,7.6,5107,3895.0526315789475,29602.4
치지직,삼식,14.8,18,19,9,17.9,3095,2316.7932960893854,41470.6
치지직,시라유키 히나,15.4,13,13,19,5.7,4661,3502.4561403508774,19964
SOOP,고세구!,16.4,8,7,30,2.7,5862,5195.481481481482,14027.8
치지직,유즈하 리코,16.8,16,16,18,8,3503,2618.725,20949.8
치지직,강소연,17.4,15,15,21,5.2,4275,3362.0384615384614,17482.6
치지직,아카네 리제,18.2,17,17,20,7,3427,2605.0142857142855,18235.1
치지직,쌍베,18.8,20,21,16,12.3,2923,2054.2195121951218,25266.9
치지직,피닉스박,19.8,19,25,15,20.3,2990,1339.7093596059112,27196.1
치지직,씨랙,23.8,29,37,8,45.9,1765,994.0305010893246,45626
치지직,빅헤드,23.8,21,18,31,5.7,2870,2364.4912280701756,13477.6
SOOP,민결희,24.6,23,33,17,22.6,2311,1110.132743362832,25089
SOOP,주르르,25.6,14,11,46,1.8,4439,4075.1111111111113,7335.2
치지직,똘똘똘이,27.2,24,34,22,15.9,2015,1075.3710691823899,17098.4
치지직,소우릎,27.2,26,30,25,13.9,1857,1150.913669064748,15997.7
치지직,사키하네 후야,28.8,22,20,41,4.1,2346,2115.7073170731705,8674.4
SOOP,띵귤_,29,27,23,36,7.4,1837,1383.4324324324325,10237.4
치지직,계춘회,31.4,41,32,26,14.3,1306,1114.3986013986014,15935.9
치지직,해마티엘,33.2,28,59,10,53.3,1809,651.0056285178237,34698.6
SOOP,강만식,33.4,31,36,32,12.7,1753,1026.5590551181103,13037.3
SOOP,끠끼,33.8,39,28,37,8.3,1459,1195.6746987951808,9924.1
SOOP,천양,34.6,33,27,43,6.6,1623,1247.7575757575758,8235.2
치지직,달콤레나 씨,38.8,32,22,59,3.5,1669,1507.942857142857,5277.8
SOOP,양도끼,40.2,57,43,29,15.4,1016,917.922077922078,14136
치지직,이춘향,40.8,38,31,52,5.7,1470,1116.9473684210527,6366.6
치지직,나나양,41,25,26,64,3.7,1865,1265.4594594594594,4682.2
치지직,살구,41.4,45,53,28,18.1,1240,798.5414364640884,14453.6
치지직,왈도쿤,41.8,49,38,42,8.5,1140,991.5529411764705,8428.2
치지직,햇살살,44.4,42,41,49,7.1,1304,942.7605633802817,6693.6
SOOP,김진솔,45.2,34,63,33,21.3,1608,583.4460093896714,12427.4
치지직,이로나묭 치카,45.6,44,65,27,25.1,1259,576.1274900398406,14460.8
치지직,0영듀0,47.4,37,44,56,6.3,1506,913.5079365079365,5755.1
치지직,모카형,49.8,55,47,50,7.3,1043,883.027397260274,6446.1
치지직,꼴랑이,50.4,30,24,87,2.4,1760,1362.4583333333333,3269.9
치지직,양아지,51.8,43,29,79,3.1,1279,1159.1935483870968,3593.5
치지직,고수달,53,53,48,58,6.1,1061,869.5901639344262,5304.5
치지직,너불,54,58,45,61,5.7,1015,897.0701754385965,5113.3
치지직,이로 클라우드,54,68,67,34,21.2,839,571.8632075471698,12123.5
치지직,아루다루송송,55.2,64,82,24,40.5,948,402.1604938271605,16287.5
치지직,쉐리,55.4,35,35,86,3.2,1597,1045.5625,3345.8
치지직,초승달,55.6,48,40,75,4.2,1152,969.4761904761905,4071.8
치지직,고차비,56.4,54,46,68,5.2,1047,885.4615384615385,4604.4
치지직,멋사,57.2,46,55,65,6.1,1238,765.2950819672132,4668.3
치지직,류제홍S,59,47,58,66,6.6,1212,706.5,4662.9
치지직,한스토리,60,66,94,23,53.7,912,317.81564245810057,17066.7
치지직,칸데르니아,60.4,74,61,53,10.6,749,598.9433962264151,6348.8
SOOP,깐숙,62.6,69,71,51,12.1,831,527.8181818181819,6386.6
치지직,실프,62.8,50,39,93,3.2,1129,970.375,3105.2
치지직,모라라,63,73,81,40,22,754,422.1454545454545,9287.2
치지직,꽃핀,63.2,56,75,55,11.7,1034,493.8888888888889,5778.5
SOOP,해리,64.8,72,64,62,8.7,791,580.5402298850574,5050.7
치지직,이도원,65.6,36,57,89,4.3,1564,743.5813953488372,3197.4
치지직,헤징,65.8,65,72,60,10.2,913,510,5202
치지직,배돈,66.2,59,52,84,4.1,971,833,3415.3
치지직,재승샷 또는 만지,66.2,83,86,38,26.2,603,371.98091603053433,9745.9
치지직,금쿤,67,95,85,35,27.4,478,378.24817518248176,10364
치지직,명예훈장,67.6,52,42,101,3,1090,920.4666666666667,2761.4
치지직,코뚱잉입니다,69.2,40,108,45,28,1378,268.75714285714287,7525.2
SOOP,안녕수야,69.8,61,56,88,4.3,957,750.7209302325581,3228.1
치지직,소니쇼,70,62,49,95,3.5,951,861.6,3015.6
치지직,박홍시1,71,77,76,63,10.4,707,471.34615384615387,4902
치지직,유우양,71.2,84,97,39,30.2,591,313.6423841059603,9472
치지직,푸린,71.8,75,62,80,6.1,747,586.6229508196722,3578.4
치지직,루 다,71.8,71,90,54,18.2,794,336.0989010989011,6117
치지직,레바,73.2,62,49,103,3,951,861.6,2584.8
치지직,악동 김블루,73.8,87,93,48,20.4,558,332.2843137254902,6778.6
치지직,개복어,74,78,89,57,16.7,697,340.52095808383234,5686.7
치지직,플레임,74.4,60,54,102,3.5,967,786.6285714285714,2753.2
SOOP,중력∀,77.4,79,84,70,11.1,658,380.34234234234236,4221.8
치지직,거터,77.6,90,105,44,28.3,526,280.30742049469967,7932.7
치지직,백곰파,77.8,81,77,77,8.2,645,462.4878048780488,3792.4
씨미,이로 클라우드,78,50,70,100,5.2,1129,531.8461538461538,2765.6
치지직,램램1,81.6,76,68,98,5.1,737,557.5294117647059,2843.4
치지직,금사향,82,80,69,96,5.6,654,533.3392857142857,2986.7
SOOP,따린,82.6,91,78,83,7.6,506,454.7894736842105,3456.4
치지직,히렌,87.6,104,120,47,32,414,223.95625,7166.6
SOOP,라로시_,87.8,93,101,72,13.9,489,301.24460431654677,4187.3
SOOP,꾸티뉴,88.4,102,99,71,13.8,419,305.32608695652175,4213.5
SOOP,키이세,92,86,80,107,5.2,563,428.63461538461536,2228.9
치지직,쟁구임,92.2,97,106,76,14.3,468,276.7832167832168,3958
SOOP,마왕0216,94,96,79,108,5,470,431.84,2159.2
SOOP,빙밍_,94.2,107,109,73,15.7,379,264.38853503184714,4150.9
SOOP,한결___,95.6,70,60,144,1.9,816,626.6842105263158,1190.7
치지직,까막 KKAMAK,99.2,120,119,69,18.7,307,226.16042780748663,4229.2
치지직,류시호 RyuSiho,99.6,82,66,142,2.2,625,574,1262.8
치지직,크캣,102,102,98,106,7.3,419,305.6849315068493,2231.5
치지직,아구이뽀,104.2,113,112,92,12.6,346,247.72222222222223,3121.3
SOOP,마다옴_,104.4,94,110,104,10.2,487,249.64705882352942,2546.4
치지직,스피드소닉,106.2,127,135,67,27.2,283,169.4889705882353,4610.1
치지직,키유 Kiyuu,106.2,85,73,150,2.1,572,504.95238095238096,1060.4
치지직,하 세,106.4,106,92,121,5.2,386,332.4230769230769,1728.6
치지직,위구리,106.6,109,103,109,7.4,363,290.4189189189189,2149.1
치지직,샤메이,107.4,89,88,136,4.2,532,343.4047619047619,1442.3
치지직,대용2,110.8,142,132,74,23.7,227,173.18565400843883,4104.5
치지직,방찌,112.2,115,107,116,7.1,330,270.0845070422535,1917.6
SOOP,예다.,112.4,118,123,99,13,315,214.41538461538462,2787.4
치지직,광말구짱,114,136,126,91,16.3,248,191.98159509202455,3129.3
치지직,갓샤인2,114.2,119,121,105,11.5,311,218.50434782608696,2512.8
SOOP,깡담비,115.2,98,149,90,21.3,452,149.32394366197184,3180.6
치지직,꽃빈,115.2,92,125,117,9.2,497,200.95652173913044,1848.8
치지직,남궁혁,116.4,88,74,173,1.5,550,500.53333333333336,750.8
SOOP,진성준짱,119.6,126,122,114,9.1,289,215.36263736263737,1959.8
치지직,HeavyRainy,122.4,122,116,129,6.6,303,240.9090909090909,1590
SOOP,바밍_,123.4,111,104,149,3.8,358,282.10526315789474,1072
치지직,은뿌,124.6,117,114,139,5.4,320,244.72222222222223,1321.5
SOOP,이유란ㅇ,125.2,128,115,134,6.2,275,242.56451612903226,1503.9
SOOP,카린야,125.2,144,163,78,28.1,221,130.66903914590748,3671.8
치지직,유레이 UREI,125.8,141,131,113,11.3,232,175.3716814159292,1981.7
치지직,연비니,126.4,108,127,135,7.9,369,183.58227848101265,1450.3
치지직,델로략국,126.4,120,118,138,6.2,307,228.1451612903226,1414.5
치지직,통깡이,127.4,99,83,186,1.7,441,390.88235294117646,664.5
SOOP,뽀린걸,128.8,116,102,162,3,329,296.6333333333333,889.9
SOOP,봄세이,129,129,147,111,13.1,274,152.4351145038168,1996.9
치지직,한동그라미1,130.2,101,100,175,2.4,428,301.9583333333333,724.7
치지직,로마러,131.6,134,139,123,10.2,254,166.64705882352942,1699.8
치지직,부리123,133.8,137,144,122,10.8,247,158.12037037037038,1707.7
치지직,강지형,135.2,152,143,119,11.3,197,158.5929203539823,1792.1
치지직,연 리,135.8,123,117,161,3.9,294,230.76923076923077,900
SOOP,파니_,136.4,146,141,127,9.7,217,164.37113402061857,1594.4
치지직,찡스임,137.2,124,138,143,7.2,291,168.625,1214.1
치지직,츠밍,138.8,146,128,146,6.2,217,181.56451612903226,1125.7
치지직,도나 Dona,140,114,152,141,8.8,341,145.9431818181818,1284.3
치지직,형 독,140.8,138,146,137,9.4,238,153.30851063829786,1441.1
치지직,쾅준,142,130,142,148,6.8,272,161.47058823529412,1098
SOOP,히요코,143,145,191,94,31.4,218,96.95541401273886,3044.4
치지직,김편집,145.6,154,136,151,6,194,169.13333333333333,1014.8
치지직,공공이삼일 00231,145.6,172,193,85,35.7,160,94.15126050420169,3361.2
치지직,판자집강아지,149.2,160,173,120,15.6,185,112.55128205128206,1755.8
SOOP,임밍지,149.2,166,166,124,13.4,176,123.45522388059702,1654.3
치지직,김디삼,150,124,198,115,21.2,291,90.91981132075472,1927.5
치지직,치코쟝,151,131,157,155,7,270,139.75714285714287,978.3
치지직,ㅎㄹㄹㅎㄹㄹ,151.8,151,130,174,4.2,199,176.0952380952381,739.6
SOOP,표우_,153.4,153,162,145,8.9,195,130.69662921348313,1163.2
치지직,레비얀 Leviyan,154.2,155,211,97,37,193,79.6972972972973,2948.8
치지직,조별하,156,158,133,178,4.1,190,172.90243902439025,708.9
SOOP,데스해머쵸로,156.6,143,137,183,4.1,225,168.8780487804878,692.4
SOOP,견자희,158.8,110,96,246,1.3,360,313.9230769230769,408.1
치지직,먀뮤뮤,160.2,167,154,163,6.1,171,143.19672131147541,873.5
치지직,어스키,161,181,186,126,15.9,149,100.66666666666667,1600.6
치지직,만디 2,163.6,164,145,182,4.5,179,154.2888888888889,694.3
치지직,아 즈 AZ,165,189,200,118,20.8,128,88.4326923076923,1839.4
치지직,두뭉,167.6,174,164,168,6,156,128.8,772.8
치지직,비행돼지,168.8,176,165,169,6.2,155,123.85483870967742,767.9
SOOP,도현ツ,169,105,91,279,1,412,335.7,335.7
치지직,성피아,169.2,140,158,195,4.5,233,137.53333333333333,618.9
치지직,오단밍,169.2,112,95,272,1.1,348,315.54545454545456,347.1
치지직,롱싸개12,169.8,179,253,82,59.6,152,58.16778523489933,3466.8
치지직,용봉탕,171,155,160,190,4.8,193,132.85416666666666,637.7
치지직,뜨엉이,171.8,185,180,157,9.1,137,104.91208791208791,954.7
치지직,하우카우uuu,172,162,155,194,4.4,181,140.77272727272728,619.4
치지직,포키쨩,172.2,135,134,229,2.7,250,171.85185185185185,464
치지직,랜비,172.4,174,213,131,20.2,156,77.06435643564356,1556.7
SOOP,떵규_,176.6,211,189,147,11.2,115,98.58035714285714,1104.1
치지직,온 하루,177.6,168,151,209,3.9,166,146.6153846153846,571.8
SOOP,시오∋,177.8,203,231,112,29.8,122,66.83221476510067,1991.6
치지직,냐 미 Nyami,178.4,160,153,213,3.7,185,145.86486486486487,539.7
SOOP,하루비_,183.4,189,205,159,11.1,128,84.77477477477477,941
SOOP,김병살,185.2,202,178,184,6.2,123,109.53225806451613,679.1
SOOP,Action김성대,185.4,139,140,254,2.3,237,165.65217391304347,381
SOOP,새라새라♥,185.4,209,192,167,8.7,117,95.19540229885058,828.2
SOOP,리타∀,186,176,171,206,5,155,116.68,583.4
치지직,레밀레기,186,208,201,160,10.5,118,88.39047619047619,928.1
SOOP,류채아,187.8,189,190,185,6.9,128,97.76811594202898,674.6
SOOP,루석_,189.2,132,113,294,1.3,264,247.30769230769232,321.5
치지직,전게,191.2,226,284,81,70.2,99,49.55982905982906,3479.1
SOOP,칸_김동하,191.4,149,194,210,6.1,209,91.70491803278688,559.4
SOOP,여우비♡,192.8,176,176,218,4.7,155,111.25531914893617,522.9
치지직,VG신선한망치,194,236,234,133,23.2,94,65.81896551724138,1527
치지직,자몽뀨1,195.6,216,249,132,25.7,112,59.90661478599222,1539.6
SOOP,악어∀,198.4,206,227,166,12,121,69.875,838.5
치지직,리크리,199.4,199,206,193,7.4,125,84.74324324324324,627.1
치지직,루루카 RURUKA,203.8,211,204,200,7,115,85.28571428571429,597
치지직,이홍빈,203.8,255,272,110,40.3,82,52.054590570719604,2097.8
치지직,끠월마녀,205.4,217,226,179,9.8,110,71.6734693877551,702.4
치지직,베 라,207,213,183,228,4.6,114,101.58695652173913,467.3
치지직,로션욤,208.4,180,199,232,5,150,89.76,448.8
치지직,심해덤,208.6,157,159,284,2.4,192,137.5,330
치지직,주누피,208.8,250,241,156,15.3,85,63.50326797385621,971.6
치지직,김나성,209.4,67,51,439,0.2,889,854.5,170.9
치지직,냐모이,210.4,230,257,154,17.1,97,57.824561403508774,988.8
치지직,이 비,210.8,252,271,130,30,84,52.663333333333334,1579.9
