플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
치지직,풍월량,28.2,16986,12582.687943262412,354831.8
치지직,괴물쥐,28,8697,6704.185714285714,187717.2
치지직,한동숙,13.8,16608,12692.101449275362,175151
SOOP,타요*,20.3,10739,8148.403940886699,165412.6
치지직,탬탬버린,11.6,8853,6263.017241379311,72651
치지직,텐코 시부키,10.1,7417,6229.415841584158,62917.1
치지직,아라하시 타비,11.4,5853,4178.201754385965,47631.5
치지직,씨랙,45.9,1765,994.0305010893246,45626
치지직,삼식,17.9,3095,2316.7932960893854,41470.6
치지직,해마티엘,53.3,1809,651.0056285178237,34698.6
치지직,서새봄냥 SEBOM,9.7,5380,3404.4123711340208,33022.8
치지직,다주,7.7,5222,4114.025974025974,31678
치지직,네네코 마시로,6,5927,5025.8,30154.8
SOOP,비챤,7.6,5107,3895.0526315789475,29602.4
치지직,피닉스박,20.3,2990,1339.7093596059112,27196.1
치지직,쌍베,12.3,2923,2054.2195121951218,25266.9
SOOP,민결희,22.6,2311,1110.132743362832,25089
치지직,유즈하 리코,8,3503,2618.725,20949.8
치지직,시라유키 히나,5.7,4661,3502.4561403508774,19964
치지직,아카네 리제,7,3427,2605.0142857142855,18235.1
치지직,강소연,5.2,4275,3362.0384615384614,17482.6
치지직,똘똘똘이,15.9,2015,1075.3710691823899,17098.4
치지직,한스토리,53.7,912,317.81564245810057,17066.7
치지직,아루다루송송,40.5,948,402.1604938271605,16287.5
치지직,소우릎,13.9,1857,1150.913669064748,15997.7
치지직,계춘회,14.3,1306,1114.3986013986014,15935.9
치지직,이로나묭 치카,25.1,1259,576.1274900398406,14460.8
치지직,살구,18.1,1240,798.5414364640884,14453.6
SOOP,양도끼,15.4,1016,917.922077922078,14136
SOOP,고세구!,2.7,5862,5195.481481481482,14027.8
치지직,빅헤드,5.7,2870,2364.4912280701756,13477.6
SOOP,강만식,12.7,1753,1026.5590551181103,13037.3
SOOP,김진솔,21.3,1608,583.4460093896714,12427.4
치지직,이로 클라우드,21.2,839,571.8632075471698,12123.5
치지직,금쿤,27.4,478,378.24817518248176,10364
SOOP,띵귤_,7.4,1837,1383.4324324324325,10237.4
SOOP,끠끼,8.3,1459,1195.6746987951808,9924.1
치지직,재승샷 또는 만지,26.2,603,371.98091603053433,9745.9
치지직,유우양,30.2,591,313.6423841059603,9472
치지직,모라라,22,754,422.1454545454545,9287.2
치지직,사키하네 후야,4.1,2346,2115.7073170731705,8674.4
치지직,왈도쿤,8.5,1140,991.5529411764705,8428.2
SOOP,천양,6.6,1623,1247.7575757575758,8235.2
치지직,거터,28.3,526,280.30742049469967,7932.7
치지직,코뚱잉입니다,28,1378,268.75714285714287,7525.2
SOOP,주르르,1.8,4439,4075.1111111111113,7335.2
치지직,히렌,32,414,223.95625,7166.6
치지직,악동 김블루,20.4,558,332.2843137254902,6778.6
치지직,햇살살,7.1,1304,942.7605633802817,6693.6
치지직,모카형,7.3,1043,883.027397260274,6446.1
SOOP,깐숙,12.1,831,527.8181818181819,6386.6
치지직,이춘향,5.7,1470,1116.9473684210527,6366.6
치지직,칸데르니아,10.6,749,598.9433962264151,6348.8
치지직,루 다,18.2,794,336.0989010989011,6117
치지직,꽃핀,11.7,1034,493.8888888888889,5778.5
치지직,0영듀0,6.3,1506,913.5079365079365,5755.1
치지직,개복어,16.7,697,340.52095808383234,5686.7
치지직,고수달,6.1,1061,869.5901639344262,5304.5
치지직,달콤레나 씨,3.5,1669,1507.942857142857,5277.8
치지직,헤징,10.2,913,510,5202
치지직,너불,5.7,1015,897.0701754385965,5113.3
SOOP,해리,8.7,791,580.5402298850574,5050.7
치지직,박홍시1,10.4,707,471.34615384615387,4902
치지직,나나양,3.7,1865,1265.4594594594594,4682.2
치지직,멋사,6.1,1238,765.2950819672132,4668.3
치지직,류제홍S,6.6,1212,706.5,4662.9
치지직,스피드소닉,27.2,283,169.4889705882353,4610.1
치지직,고차비,5.2,1047,885.4615384615385,4604.4
치지직,까막 KKAMAK,18.7,307,226.16042780748663,4229.2
SOOP,중력∀,11.1,658,380.34234234234236,4221.8
SOOP,꾸티뉴,13.8,419,305.32608695652175,4213.5
SOOP,라로시_,13.9,489,301.24460431654677,4187.3
SOOP,빙밍_,15.7,379,264.38853503184714,4150.9
치지직,대용2,23.7,227,173.18565400843883,4104.5
치지직,초승달,4.2,1152,969.4761904761905,4071.8
치지직,쟁구임,14.3,468,276.7832167832168,3958
치지직,백곰파,8.2,645,462.4878048780488,3792.4
SOOP,카린야,28.1,221,130.66903914590748,3671.8
치지직,양아지,3.1,1279,1159.1935483870968,3593.5
치지직,푸린,6.1,747,586.6229508196722,3578.4
치지직,전게,70.2,99,49.55982905982906,3479.1
치지직,롱싸개12,59.6,152,58.16778523489933,3466.8
SOOP,따린,7.6,506,454.7894736842105,3456.4
치지직,배돈,4.1,971,833,3415.3
치지직,공공이삼일 00231,35.7,160,94.15126050420169,3361.2
치지직,쉐리,3.2,1597,1045.5625,3345.8
치지직,꼴랑이,2.4,1760,1362.4583333333333,3269.9
SOOP,안녕수야,4.3,957,750.7209302325581,3228.1
치지직,이도원,4.3,1564,743.5813953488372,3197.4
SOOP,깡담비,21.3,452,149.32394366197184,3180.6
치지직,광말구짱,16.3,248,191.98159509202455,3129.3
치지직,아구이뽀,12.6,346,247.72222222222223,3121.3
치지직,실프,3.2,1129,970.375,3105.2
SOOP,히요코,31.4,218,96.95541401273886,3044.4
치지직,소니쇼,3.5,951,861.6,3015.6
치지직,금사향,5.6,654,533.3392857142857,2986.7
치지직,레비얀 Leviyan,37,193,79.6972972972973,2948.8
치지직,램램1,5.1,737,557.5294117647059,2843.4
SOOP,예다.,13,315,214.41538461538462,2787.4
씨미,이로 클라우드,5.2,1129,531.8461538461538,2765.6
치지직,명예훈장,3,1090,920.4666666666667,2761.4
치지직,플레임,3.5,967,786.6285714285714,2753.2
치지직,레바,3,951,861.6,2584.8
SOOP,마다옴_,10.2,487,249.64705882352942,2546.4
치지직,갓샤인2,11.5,311,218.50434782608696,2512.8
치지직,크캣,7.3,419,305.6849315068493,2231.5
SOOP,키이세,5.2,563,428.63461538461536,2228.9
SOOP,마왕0216,5,470,431.84,2159.2
치지직,위구리,7.4,363,290.4189189189189,2149.1
치지직,이홍빈,40.3,82,52.054590570719604,2097.8
SOOP,봄세이,13.1,274,152.4351145038168,1996.9
SOOP,시오∋,29.8,122,66.83221476510067,1991.6
치지직,유레이 UREI,11.3,232,175.3716814159292,1981.7
SOOP,진성준짱,9.1,289,215.36263736263737,1959.8
치지직,김디삼,21.2,291,90.91981132075472,1927.5
치지직,방찌,7.1,330,270.0845070422535,1917.6
치지직,꽃빈,9.2,497,200.95652173913044,1848.8
치지직,아 즈 AZ,20.8,128,88.4326923076923,1839.4
치지직,강지형,11.3,197,158.5929203539823,1792.1
치지직,판자집강아지,15.6,185,112.55128205128206,1755.8
치지직,하 세,5.2,386,332.4230769230769,1728.6
치지직,부리123,10.8,247,158.12037037037038,1707.7
치지직,로마러,10.2,254,166.64705882352942,1699.8
SOOP,임밍지,13.4,176,123.45522388059702,1654.3
SOOP,김-부각,41.3,122,39.0363196125908,1612.2
치지직,어스키,15.9,149,100.66666666666667,1600.6
SOOP,파니_,9.7,217,164.37113402061857,1594.4
SOOP,화여니,60,47,26.54,1592.4
치지직,HeavyRainy,6.6,303,240.9090909090909,1590
치지직,이 비,30,84,52.663333333333334,1579.9
치지직,랜비,20.2,156,77.06435643564356,1556.7
치지직,자몽뀨1,25.7,112,59.90661478599222,1539.6
치지직,VG신선한망치,23.2,94,65.81896551724138,1527
SOOP,이유란ㅇ,6.2,275,242.56451612903226,1503.9
치지직,연비니,7.9,369,183.58227848101265,1450.3
치지직,샤메이,4.2,532,343.4047619047619,1442.3
치지직,형 독,9.4,238,153.30851063829786,1441.1
치지직,델로략국,6.2,307,228.1451612903226,1414.5
치지직,은뿌,5.4,320,244.72222222222223,1321.5
SOOP,홍스즈,39.9,50,32.80200501253133,1308.8
치지직,도나 Dona,8.8,341,145.9431818181818,1284.3
치지직,류시호 RyuSiho,2.2,625,574,1262.8
치지직,찡스임,7.2,291,168.625,1214.1
SOOP,한결___,1.9,816,626.6842105263158,1190.7
SOOP,표우_,8.9,195,130.69662921348313,1163.2
치지직,츠밍,6.2,217,181.56451612903226,1125.7
SOOP,떵규_,11.2,115,98.58035714285714,1104.1
치지직,쾅준,6.8,272,161.47058823529412,1098
SOOP,바밍_,3.8,358,282.10526315789474,1072
치지직,키유 Kiyuu,2.1,572,504.95238095238096,1060.4
치지직,김편집,6,194,169.13333333333333,1014.8
치지직,연못여우,52.6,47,19.05513307984791,1002.3
치지직,렛 삐,42.7,58,23.24824355971897,992.7
치지직,냐모이,17.1,97,57.824561403508774,988.8
치지직,치코쟝,7,270,139.75714285714287,978.3
치지직,주누피,15.3,85,63.50326797385621,971.6
치지직,뜨엉이,9.1,137,104.91208791208791,954.7
치지직,윤리즈,16.4,73,57.63414634146341,945.2
SOOP,하루비_,11.1,128,84.77477477477477,941
치지직,레밀레기,10.5,118,88.39047619047619,928.1
치지직,연 리,3.9,294,230.76923076923077,900
SOOP,뽀린걸,3,329,296.6333333333333,889.9
치지직,먀뮤뮤,6.1,171,143.19672131147541,873.5
SOOP,얼이,31.3,107,27.105431309904155,848.4
SOOP,요요에요∀,16.4,72,51.15243902439025,838.9
SOOP,악어∀,12,121,69.875,838.5
SOOP,새라새라♥,8.7,117,95.19540229885058,828.2
치지직,두뭉,6,156,128.8,772.8
