플랫폼,날짜,방송시간,최고 활성 스트리머,평균 활성 스트리머,6분 최고채팅,6분 평균 채팅수,최고 시청자,평균 시청자,뷰어십 (평균*방송시간)
SOOP,2026.03.09 (월),89.1,270,231,6064,782,22203,5646,503032
씨미,2026.03.09 (월),49,25,18,0,0,1172,83,4055
치지직,2026.03.09 (월),91.2,1604,1107,15050,3669,70308,20219,1843932
SOOP,2026.03.02 (월),4.8,1,1,0,0,2,2,10
SOOP,2026.02.23 (월),0.1,1,1,3,3,3,3,0
SOOP,2026.02.16 (월),7.3,1,1,2,0,3,2,16
SOOP,2026.01.26 (월),1.6,1,1,22,2,6,2,4
SOOP,2026.01.05 (월),6.6,1,1,0,0,5,1,10
SOOP,2025.12.29 (월),11.1,1,1,4,0,5,1,12
SOOP,2025.12.22 (월),54.1,1,1,6,0,4,1,62
SOOP,2025.12.08 (월),21.9,1,1,7,0,2,2,37
