플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
SOOP,봉준,1.4,1,1,2,17.2,44489,22241.779069767443,382558.6
SOOP,김민교.,2.4,2,2,3,21.7,24077,14381.15207373272,312071
SOOP,항상#킴성태,3,3,5,1,45.5,20523,9095.048351648351,413824.7
SOOP,이상호,5.2,4,6,5,25,14418,7868.128,196703.2
SOOP,천양,8,8,7,9,15.1,11391,5557.615894039735,83920
SOOP,타요*,8.2,9,8,8,22.2,7081,4839.90990990991,107446
SOOP,징버거☆,9,11,11,6,30.4,6267,4181.9276315789475,127130.6
SOOP,저라뎃,9.6,10,15,4,58.2,6808,3434.991408934708,199916.5
SOOP,감스트,11,5,3,22,2.8,13868,11376.07142857143,31853
SOOP,우왁굳,11,7,4,20,3.4,12226,10541.29411764706,35840.4
SOOP,owesports,12.4,12,13,12,18.2,5980,3837.8846153846152,69849.5
SOOP,남순,13.6,14,10,17,9,5576,4552.533333333334,40972.8
SOOP,이지상:),13.6,6,20,11,34.5,12286,2334.8608695652174,80552.7
SOOP,오아,16,16,25,7,67.6,4831,1763.6360946745563,119221.8
SOOP,비챤,17.8,23,18,15,17.6,3588,2871.9261363636365,50545.9
SOOP,감블러,18.2,17,27,10,49.3,4796,1694.5314401622718,83540.4
치지직,아카네 리제,20.4,22,17,23,10.4,3626,3062.3076923076924,31848
치지직,김뚜띠,23,13,9,42,2.7,5788,4789.851851851852,12932.6
치지직,아오쿠모 린,23.4,21,16,32,5.6,3817,3324.714285714286,18618.4
SOOP,깨박이깨박이,23.8,15,33,19,32.2,5086,1200.72049689441,38663.2
SOOP,임아니,24.2,25,34,14,50.8,3522,1134.4035433070867,57627.7
치지직,아라하시 타비,24.4,18,14,38,3.9,4603,3750.051282051282,14625.2
SOOP,강만식,26.4,26,40,13,62.8,3024,941.6624203821656,59136.4
치지직,하나코 나나,26.4,24,19,35,5.9,3587,2659.322033898305,15690
치지직,다주,28.4,30,26,30,12.7,2703,1734.5433070866143,22028.7
치지직,빅헤드,29.2,28,23,36,8.2,2841,1909.841463414634,15660.7
치지직,사키하네 후야,31.6,34,22,40,6.9,2311,1981.072463768116,13669.4
