플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,탬탬버린,4.6,1,1,10,1,5168,4570.5,4570.5
치지직,김뚜띠,5,3,3,8,1.7,3449,3220.3529411764707,5474.6
치지직,빅헤드,5.6,6,7,4,4.4,2276,1546.7954545454545,6805.9
치지직,아야츠노 유니,6.4,2,4,11,1.5,3532,3033.8,4550.7
치지직,서넹,10.4,20,15,1,28.7,698,497.61672473867594,14281.6
치지직,쪼낙,11.4,13,20,2,20.5,922,437.2439024390244,8963.5
치지직,일루전입니다,11.8,11,19,5,14.7,1194,447.31972789115645,6575.6
치지직,아오쿠모 린,11.8,5,5,22,0.9,3248,2997.8888888888887,2698.1
SOOP,일루전_,12.6,9,21,6,14.7,1389,428.578231292517,6300.1
치지직,류제홍S,12.8,8,9,19,4.6,1403,681.2608695652174,3133.8
치지직,김뿡,13,7,6,23,1.7,1978,1584.764705882353,2694.1
SOOP,stalk3row,13.6,10,22,7,14.1,1282,421.5673758865248,5944.1
치지직,shu1,14.8,12,14,17,7.1,1133,520.8732394366198,3698.2
치지직,아카네 리제,14.8,4,2,33,0.6,3361,3232.5,1939.5
치지직,프로퍼,18.2,19,10,26,4,748,652.325,2609.3
SOOP,초롱CH0R0NG,18.8,18,13,25,4.9,764,533.7755102040817,2615.5
치지직,마뫄,19.4,17,11,29,3.3,801,627.2727272727273,2070
치지직,에땁01,19.6,24,23,14,10.2,509,415.69607843137254,4240.1
치지직,양아지,21,23,17,24,5.7,582,469.35087719298247,2675.3
치지직,바이올렛잇고,23,25,24,21,7,497,392.7,2748.9
SOOP,HeeSang1,24.4,26,30,18,13,484,265.5076923076923,3451.6
SOOP,쪼낙,26.6,15,43,16,20.3,856,187.82758620689654,3812.9
치지직,볼가지 bug,27.8,35,49,3,49,312,167.48979591836735,8207
치지직,윤산삼,29.8,39,42,13,22.8,285,188.2017543859649,4291
SOOP,빡준빈,31.8,29,26,39,4.2,415,334.73809523809524,1405.9
치지직,임나은,33.6,16,16,60,1.8,840,476.94444444444446,858.5
