플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
SOOP,김민교.,31.2,31742,18721.55128205128,584112.4
SOOP,봉준,19.4,49279,22370.634020618556,433990.3
SOOP,항상#킴성태,35.6,19817,7582.955056179775,269953.2
SOOP,이상호,18,17580,11982.333333333334,215682
SOOP,저라뎃,40.8,6808,3225.607843137255,131604.8
SOOP,owesports,19.1,7559,5592.701570680629,106820.6
SOOP,임아니,60.8,3586,1325.3486842105262,80581.2
SOOP,오아,48,3872,1578.2145833333334,75754.3
SOOP,남순,14.6,6766,4083.3835616438355,59617.4
SOOP,감블러,52.8,2681,1114.8598484848485,58864.6
SOOP,강만식,60.7,3024,887.1186161449752,53848.1
SOOP,감스트,5.7,20633,8758.298245614034,49922.3
SOOP,이지상:),24,6339,1977.375,47457
SOOP,수피,32.2,1954,1191.1863354037266,38356.2
SOOP,지피티,21.3,2654,1792.8309859154929,38187.3
치지직,빅헤드,22.6,2841,1526.9557522123894,34509.2
치지직,서넹,51.5,1214,669.8135922330097,34495.4
SOOP,타요*,7,5786,4569.142857142857,31984
SOOP,우왁굳,2.8,12226,10939.107142857143,30629.5
SOOP,징버거☆,10.1,4194,2977.4158415841584,30071.9
SOOP,깐숙,27.9,1482,1030.9498207885304,28763.5
SOOP,일루전_,36.7,2574,777.1144414168938,28520.1
치지직,아카네 리제,9.1,4116,3093.802197802198,28153.6
SOOP,도현ツ,32.4,1601,801.6635802469136,25973.9
SOOP,비챤,8,3915,3024.475,24195.8
SOOP,EscA_에스카,29.3,2525,709.9044368600682,20800.2
SOOP,클리드1,19.2,2051,1079.4375,20725.2
SOOP,조디악악악,53.1,1111,378.07721280602635,20075.9
치지직,치킨쿤,22,1343,850.290909090909,18706.4
SOOP,철구형2↑,3.5,6444,5155.942857142857,18045.8
치지직,소우릎,20.8,1255,797.9182692307693,16596.7
치지직,아오쿠모 린,4.9,3817,3195.795918367347,15659.4
SOOP,쪼낙,17.1,1655,871.8713450292398,14909
SOOP,나는상윤,27.6,1029,523.304347826087,14443.2
SOOP,“클로이”,37,1626,352.18108108108106,13030.7
치지직,김뚜띠,2.7,5788,4789.851851851852,12932.6
치지직,탬탬버린,2.1,7189,6085.523809523809,12779.6
치지직,다주,6.8,2703,1875.8529411764705,12755.8
SOOP,깨박이깨박이,4.9,5086,2539.877551020408,12445.4
SOOP,양도끼,19.3,1040,643.0103626943005,12410.1
SOOP,바밍_,34.9,947,354.86819484240687,12384.9
SOOP,해리,19.3,972,580.7564766839379,11208.6
SOOP,학살~,22.3,1325,490.9596412556054,10948.4
치지직,이선생,41.2,402,262.75485436893206,10825.5
SOOP,파니_,44.3,730,235.04740406320542,10412.6
SOOP,지붕위소희,16.8,1138,606,10180.8
SOOP,김된모!,15.5,950,634.9741935483871,9842.1
SOOP,띵귤_,7.2,1880,1362.763888888889,9811.9
SOOP,중력∀,15,787,624.4933333333333,9367.4
치지직,마뫄,8.5,1621,1085.5058823529412,9226.8
SOOP,앵지,33.1,545,271.99093655589127,9002.9
치지직,삐부,29.8,583,282.2013422818792,8409.6
SOOP,김진솔,43.4,543,193.56451612903226,8400.7
SOOP,한남맛종욱,34.6,640,218.10115606936415,7546.3
SOOP,(주)박사장$,6.7,1507,1116.2835820895523,7479.1
SOOP,우리밍_,30.4,375,242.6546052631579,7376.7
SOOP,진성준짱,34,325,204.02058823529413,6936.7
SOOP,뽀린걸,17.1,530,399.65497076023394,6834.1
SOOP,하루묭.,28.1,455,242.8896797153025,6825.2
SOOP,견자희,26.2,311,245.8854961832061,6442.2
SOOP,키이세,25.5,558,252.26666666666668,6432.8
SOOP,으냉이,17.7,646,358.8587570621469,6351.8
SOOP,꿀탱탱,38.3,425,162.32114882506528,6216.9
치지직,설백,21.2,498,290.97169811320754,6168.6
SOOP,뮤즈_MUSE,27.4,523,221.67153284671534,6073.8
SOOP,유시에,51.2,392,117.166015625,5998.9
SOOP,깡담비,37.9,493,157.96306068601584,5986.8
치지직,에땁01,34.2,332,173.87426900584796,5946.5
치지직,짜누1,25.5,458,225.78823529411764,5757.6
치지직,볼가지 bug,28,330,198.24642857142857,5550.9
SOOP,키마,4.3,1602,1271.7441860465117,5468.5
SOOP,꾸티뉴,10.3,616,511.80582524271847,5271.6
SOOP,Alo.조경훈,4.3,1787,1214.139534883721,5220.8
SOOP,혜응이_,22.7,621,229.81057268722466,5216.7
SOOP,나나문,19.7,490,259.8781725888325,5119.6
치지직,임나은,12.4,846,403.33870967741933,5001.4
SOOP,울산큰고래,9.6,636,508.0208333333333,4877
SOOP,해기_,16.5,537,291.2909090909091,4806.3
SOOP,빙밍_,19.2,420,241.703125,4640.7
SOOP,마다옴_,21.5,612,210.34883720930233,4522.5
치지직,사키하네 후야,2,2311,2171.85,4343.7
SOOP,설레랑,10.5,940,397.9714285714286,4178.7
SOOP,Calm_김윤환,2.1,2289,1963.7142857142858,4123.8
SOOP,사과몽,33.4,387,122.83532934131736,4102.7
치지직,윤산삼,23.8,246,172.22268907563026,4098.9
SOOP,한결___,5.8,1077,694.948275862069,4030.7
SOOP,하나나,23.6,535,167.64406779661016,3956.4
치지직,너불,2.8,1676,1387.642857142857,3885.4
SOOP,쥐돌이쥐돌이,18.8,1501,205.74468085106383,3868
치지직,푸린,10.2,615,372.5,3799.5
SOOP,디임,6,1129,632.5833333333334,3795.5
치지직,눈꽃,17.6,570,215.33522727272728,3789.9
SOOP,서나앙,30.7,801,123.20521172638436,3782.4
SOOP,성기사샬롯,13.4,1425,281.5074626865672,3772.2
SOOP,단츄♪,2.5,1795,1499.52,3748.8
치지직,아라하시 타비,0.9,4538,4095.1111111111113,3685.6
치지직,새 담,34.4,220,101.55813953488372,3493.6
치지직,핑맨,3.5,1533,983.3142857142857,3441.6
SOOP,남수댕,19.2,394,173.65625,3334.2
치지직,담유이,8.3,624,397.71084337349396,3301
치지직,바이올렛잇고,9.6,458,340.3645833333333,3267.5
SOOP,초롱CH0R0NG,15.4,282,210.47402597402598,3241.3
SOOP,아이치,7.9,795,405.2151898734177,3201.2
SOOP,라로시_,14.3,535,212.74125874125875,3042.2
치지직,일루전입니다,18.1,567,165.59668508287294,2997.3
SOOP,박나닝,16.8,296,176.3154761904762,2962.1
SOOP,홍현성.,28.3,208,103.42756183745583,2927
치지직,채현찌,2.7,1627,1077.6296296296296,2909.6
SOOP,떵규_,23.9,329,119.65271966527196,2859.7
치지직,실프,5.2,731,549.1923076923077,2855.8
치지직,행돌,5.5,684,508.1272727272727,2794.7
SOOP,마로니!,9.9,368,278.92929292929296,2761.4
SOOP,구루미:9,16.8,543,162.61309523809524,2731.9
SOOP,딴딴2당,39.2,329,69.06377551020408,2707.3
SOOP,마이곰이_,2,1596,1345.4,2690.8
SOOP,챈나,3.2,940,837.25,2679.2
SOOP,유설아♡,9.3,500,283.9139784946237,2640.4
SOOP,김규태,32,241,81.071875,2594.3
치지직,아야 AYA,10.6,806,240.91509433962264,2553.7
치지직,권세이,26.3,139,95.07604562737643,2500.5
치지직,나무늘보OW,28,163,88.43571428571428,2476.2
치지직,유즈하 리코,1.1,2367,2228.4545454545455,2451.3
치지직,주루,28.8,262,84.58680555555556,2436.1
치지직,금사향,2.8,1044,858.75,2404.5
치지직,아구이뽀,4.3,1760,555.1162790697674,2387
SOOP,상어녀,12.8,302,186.078125,2381.8
SOOP,라무,21.3,181,110.12206572769954,2345.6
치지직,해마티엘,11.6,567,199.49137931034483,2314.1
SOOP,한갱,1.9,1369,1206.8947368421052,2293.1
SOOP,태영♥,3.6,746,606.1388888888889,2182.1
치지직,선데이1,14,399,155.80714285714285,2181.3
SOOP,블랙워크,4.4,1098,494.47727272727275,2175.7
SOOP,빵지니♥,8.9,513,243.8426966292135,2170.2
치지직,Akaros83,9.7,286,223.10309278350516,2164.1
치지직,킴쿼카,161.8,48,13.07478368355995,2115.5
SOOP,목츄리,27.9,238,74.51612903225806,2079
치지직,용봉탕,22.3,145,91.62780269058295,2043.3
SOOP,문모모,14,305,145.18571428571428,2032.6
SOOP,한둬얼,2.6,955,736,1913.6
SOOP,서한결,81.9,55,23.11965811965812,1893.5
SOOP,기뉴다,2.9,1019,623.8965517241379,1809.3
치지직,꽃핀,5.4,570,332.94444444444446,1797.9
SOOP,정다니,35.9,113,49.860724233983284,1790
치지직,남봉,2.8,897,634.5,1776.6
치지직,디엠이무니다,19.4,168,90.94845360824742,1764.4
SOOP,도맑음,11.9,200,147.3109243697479,1753
SOOP,또오냥♥,16.9,257,103.2189349112426,1744.4
SOOP,악어∀,3.5,1021,494.8,1731.8
SOOP,oPuTo,30.9,75,55.919093851132686,1727.9
SOOP,냥냥두둥,21,119,82.27142857142857,1727.7
SOOP,김레인♥,22.7,304,75.37885462555066,1711.1
치지직,비올레타 모네,2.5,900,680.16,1700.4
치지직,한스토리,21,409,79.14761904761905,1662.1
치지직,쿨 쿨 이,23.9,136,69.06694560669456,1650.7
SOOP,데스해머쵸로,4.6,677,358.19565217391306,1647.7
치지직,치요우,16.9,160,96.44378698224853,1629.9
SOOP,리타∀,6.9,581,234.7391304347826,1619.7
치지직,블레어 로즈,1.4,1303,1150.857142857143,1611.2
치지직,삐라입니다,15.8,146,101.82911392405063,1608.9
SOOP,디엠이무니다,33.8,161,46.967455621301774,1587.5
SOOP,안산저격수,18.8,368,83.69148936170212,1573.4
치지직,야켓,49.4,68,31.242914979757085,1543.4
치지직,디디디용,1.5,1253,1019.8,1529.7
SOOP,stalk3row,7.9,272,193.15189873417722,1525.9
치지직,내가미라지,13.4,192,113.81343283582089,1525.1
SOOP,배그나,2.1,913,723.6666666666666,1519.7
치지직,펠리칸인디용,14.8,162,101.52702702702703,1502.6
치지직,무화 Moohwa,72.1,56,20.83356449375867,1502.1
SOOP,비숑b,21.5,151,69.79069767441861,1500.5
SOOP,히댕,6.6,817,224.8181818181818,1483.8
치지직,제이큐브 JCUBE,26.8,101,55.08955223880597,1476.4
치지직,하예솜,46.7,53,31.07066381156317,1451
치지직,김덕만 KDM,9.9,251,145.9090909090909,1444.5
SOOP,aidragon,14.2,139,101.4225352112676,1440.2
SOOP,모요,15.3,132,87.49673202614379,1338.7
치지직,사야플,19.9,140,67.23115577889448,1337.9
치지직,헤이 heyy,34.3,61,38.57142857142857,1323
SOOP,모카:b,6.3,301,207.28571428571428,1305.9
치지직,세노 SEN5,7.9,194,160.13924050632912,1265.1
SOOP,찌미♥,64.2,42,19.473520249221185,1250.2
