플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
치지직,서넹,28.7,698,497.61672473867594,14281.6
치지직,쪼낙,20.5,922,437.2439024390244,8963.5
치지직,볼가지 bug,49,312,167.48979591836735,8207
치지직,빅헤드,4.4,2276,1546.7954545454545,6805.9
치지직,일루전입니다,14.7,1194,447.31972789115645,6575.6
SOOP,일루전_,14.7,1389,428.578231292517,6300.1
SOOP,stalk3row,14.1,1282,421.5673758865248,5944.1
치지직,김뚜띠,1.7,3449,3220.3529411764707,5474.6
치지직,박진규02,117.9,104,44.63613231552163,5262.6
치지직,탬탬버린,1,5168,4570.5,4570.5
치지직,아야츠노 유니,1.5,3532,3033.8,4550.7
치지직,주루,34.7,221,124.41210374639769,4317.1
치지직,윤산삼,22.8,285,188.2017543859649,4291
치지직,에땁01,10.2,509,415.69607843137254,4240.1
치지직,삐라입니다,39.4,170,97.78934010152284,3852.9
SOOP,쪼낙,20.3,856,187.82758620689654,3812.9
치지직,shu1,7.1,1133,520.8732394366198,3698.2
SOOP,HeeSang1,13,484,265.5076923076923,3451.6
치지직,류제홍S,4.6,1403,681.2608695652174,3133.8
치지직,팔차선8,24.8,346,120.91935483870968,2998.8
치지직,바이올렛잇고,7,497,392.7,2748.9
치지직,아오쿠모 린,0.9,3248,2997.8888888888887,2698.1
치지직,김뿡,1.7,1978,1584.764705882353,2694.1
치지직,양아지,5.7,582,469.35087719298247,2675.3
SOOP,초롱CH0R0NG,4.9,764,533.7755102040817,2615.5
치지직,프로퍼,4,748,652.325,2609.3
치지직,나무늘보OW,31.6,147,81.97784810126582,2590.5
치지직,디엠이무니다,33.5,121,65.92537313432835,2208.5
치지직,마뫄,3.3,801,627.2727272727273,2070
치지직,하 세,11.5,272,176.4608695652174,2029.3
치지직,헤이 heyy,35.9,81,56.3008356545961,2021.2
치지직,아이치,14.5,262,135.75862068965517,1968.5
치지직,아카네 리제,0.6,3361,3232.5,1939.5
치지직,전홀리,42.2,99,42.23696682464455,1782.4
치지직,슈이입니다,32.3,115,50.0030959752322,1615.1
치지직,꽃분홍,39.1,62,41.14578005115089,1608.8
SOOP,oPuTo,31.2,156,50.50961538461539,1575.9
치지직,무화 Moohwa,59.8,58,24.224080267558527,1448.6
SOOP,빡준빈,4.2,415,334.73809523809524,1405.9
치지직,이오링0,66.6,63,21.105105105105107,1405.6
치지직,치요우,16.6,143,83.83734939759036,1391.7
치지직,프로즈,9.9,199,139.41414141414143,1380.2
치지직,이복만,47.2,48,28.472457627118644,1343.9
치지직,유후의피아노래,7.6,190,167.89473684210526,1276
치지직,Oo시안oO,35.7,74,35.66946778711485,1273.4
치지직,메메s,44.7,76,28.098434004474274,1256
치지직,신노스케입니다,53.6,60,22.96641791044776,1231
치지직,smurf5,17.8,126,67.84831460674157,1207.7
치지직,권세이,12.4,135,95.70967741935483,1186.8
SOOP,사봉디,42.2,53,27.88862559241706,1176.9
치지직,펠리칸인디용,16.2,121,71.81481481481481,1163.4
치지직,전게,33.3,61,33.96096096096096,1130.9
치지직,Knife21,15.4,118,72.64935064935065,1118.8
치지직,야켓,37.1,63,30.043126684636118,1114.6
치지직,하예솜,30.7,59,35.77524429967427,1098.3
치지직,어스키,21.6,105,49.84722222222222,1076.7
치지직,설백,3.1,444,338.19354838709677,1048.4
치지직,빅박스,12.8,128,71.125,910.4
치지직,근모닝,15.6,104,57.10897435897436,890.9
치지직,임나은,1.8,840,476.94444444444446,858.5
치지직,엄덕구1,23.2,68,36.202586206896555,839.9
SOOP,김배키이,15.4,71,54.38961038961039,837.6
SOOP,김멘탈,64,22,12.921875,827
치지직,금사향,1.4,627,573.0714285714286,802.3
치지직,나나링 Nanaring,12.8,87,62.28125,797.2
치지직,사야플,16.1,98,49.35403726708075,794.6
SOOP,vi9ilante,3.4,353,230.94117647058823,785.2
치지직,김덕만 KDM,5.6,274,138.58928571428572,776.1
치지직,퓨리0,49.6,62,15.58266129032258,772.9
SOOP,립LIP,9.1,129,83.01098901098901,755.4
SOOP,니니♥♥♥,1.6,631,449.6875,719.5
치지직,Uann 유안,16.3,89,43.895705521472394,715.5
SOOP,디엠이무니다,33.2,79,21.198795180722893,703.8
치지직,살균제,47.6,37,14.649159663865547,697.3
SOOP,볼가지,44.7,26,15.201342281879194,679.5
치지직,한나금,16.6,69,40.91566265060241,679.2
치지직,광살탄,25.1,42,26.54980079681275,666.4
치지직,밤새는 요괴 3568,35.9,73,18.498607242339833,664.1
치지직,펠릭스 Felix,26.4,55,25.03787878787879,661
치지직,조하구1,4.8,164,134.60416666666666,646.1
SOOP,삐라입니다,38.9,35,16.539845758354755,643.4
치지직,Bernar,3.1,261,202.61290322580646,628.1
SOOP,현르시,50.5,19,12.110891089108911,611.6
치지직,쏭이,15.9,57,38.125786163522015,606.2
치지직,향아치,2,420,301.75,603.5
치지직,킴쿼카,25.5,53,23.48627450980392,598.9
치지직,Sley,12.8,83,46.7109375,597.9
치지직,갓샤인2,2.7,253,221.1851851851852,597.2
SOOP,킬로인디용,15.6,69,37.833333333333336,590.2
치지직,옵쪽이,34.3,33,17.183673469387756,589.4
SOOP,배청순,39.8,24,14.379396984924623,572.3
치지직,고보미,15.3,59,36.712418300653596,561.7
치지직,owKira,14.9,120,37.691275167785236,561.6
치지직,와팬,11.1,91,49.711711711711715,551.8
치지직,윤우 YunWoo,42.7,26,12.903981264637002,551
SOOP,상기님,32,28,17.20625,550.6
치지직,ㅇ연이ㅇ,2,325,271.45,542.9
치지직,Akaros83,2.6,244,204.73076923076923,532.3
치지직,Proud,2.8,286,188.57142857142858,528
치지직,감정적으로겜함,14.6,135,35.07534246575342,512.1
SOOP,혜지,46.8,17,10.80982905982906,505.9
치지직,광대무현,5.8,136,83,481.4
치지직,김땡땡72,56.4,17,8.402482269503546,473.9
치지직,페오 PEO,26.8,49,17.47761194029851,468.4
치지직,텝텝,5.6,121,83,464.8
치지직,져니콩,48.9,30,9.503067484662576,464.7
SOOP,해리,2.1,343,218.33333333333334,458.5
SOOP,Soop바이칼,22.3,26,20.30493273542601,452.8
