플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,양도운,1.8,1,3,1,249.8,27,10.451961569255404,2610.9
치지직,망쵸,3.4,3,1,6,27.3,20,10.95970695970696,299.2
치지직,플립시드,5.2,2,2,10,17.3,26,10.92485549132948,189
치지직,하루 님,7.8,9,11,4,91,14,6.184615384615385,562.8
치지직,허슬임,8,4,9,9,28.8,16,6.583333333333333,189.6
치지직,명탄,10,4,18,5,67.8,16,5.035398230088496,341.4
치지직,너구리OwO,11.2,6,23,2,173.4,15,4.427335640138408,767.7
치지직,딱철,12.4,6,16,12,22.7,15,5.524229074889868,125.4
치지직,뷰슬1337,13,9,12,16,16.3,14,5.889570552147239,96
치지직,운송장 unsong,14,6,13,19,14.7,15,5.7482993197278915,84.5
치지직,디보티,15.8,15,29,3,179.8,12,3.8937708565072304,700.1
치지직,Tonteria,15.8,9,22,13,23.5,14,4.659574468085107,109.5
치지직,유세화 USeHwa,16.2,9,4,32,4.1,14,8.365853658536585,34.3
치지직,뚜루쿤,18,18,28,8,62.1,11,3.9146537842190017,243.1
치지직,나루다,18,18,19,17,17.9,11,4.966480446927374,88.9
치지직,김파인애플,19.4,15,26,15,23.8,12,4.046218487394958,96.3
치지직,비올레티,20,18,5,36,3,11,8.166666666666666,24.5
치지직,김동팡,22.6,25,7,37,3,10,7.266666666666667,21.8
치지직,비빔밥워리어민철,22.8,18,30,18,23.2,11,3.7629310344827585,87.3
치지직,Hosang Rifle,23,13,37,14,31.1,13,3.1864951768488745,99.1
치지직,릴테이프,23,25,34,11,49.5,10,3.3878787878787877,167.7
치지직,우묘,23,25,25,20,19.5,10,4.184615384615385,81.6
치지직,냐아초,23.8,15,45,7,113.4,12,2.63668430335097,299
치지직,래삥,24.6,13,17,38,3.7,13,5.27027027027027,19.5
치지직,안룡98,24.6,29,21,26,10,9,4.78,47.8
