플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,피쯔,1,1,1,1,2.5,845,588.88,1472.2
치지직,양도운,3,3,3,3,19.4,36,12.448453608247423,241.5
치지직,삼하나31,4,4,4,4,14,30,10.514285714285714,147.2
치지직,하루 님,4.2,5,6,2,28.5,25,9.442105263157895,269.1
치지직,reibow,4.4,2,5,5,5.7,44,10.157894736842104,57.9
치지직,망쵸,4.8,6,2,7,2.5,23,17.72,44.3
치지직,뚜루쿤,7.8,7,7,9,3.5,18,8.914285714285715,31.2
치지직,딱철,8.2,9,10,6,8,16,6.1125,48.9
치지직,명탄,8.6,7,8,10,4.3,18,6.651162790697675,28.6
치지직,릴테이프,9.6,10,11,8,8.2,14,4.987804878048781,40.9
치지직,이고 Ego,10.6,13,9,11,2.5,9,6.24,15.6
치지직,시그 SIG,13.8,11,17,12,3.9,10,3.2564102564102564,12.7
치지직,목화솜 moghwasom,14,14,15,13,3,8,3.9,11.7
치지직,사초21,14.6,15,12,17,1.9,7,4.7894736842105265,9.1
치지직,Bazzy2002,15.4,11,14,19,1.9,10,4.052631578947368,7.7
치지직,무박이,16.2,15,18,15,3.5,7,3,10.5
치지직,피그루,16.4,18,16,16,2.4,6,3.8333333333333335,9.2
치지직,비빔밥워리어민철,17.2,18,13,21,1.1,6,4.7272727272727275,5.2
치지직,Y2R,17.4,15,19,17,3.1,7,2.935483870967742,9.1
치지직,우묘,19.8,21,25,14,8.4,5,1.380952380952381,11.6
치지직,김파인애플,20.2,21,20,20,2.3,5,2.739130434782609,6.3
치지직,GrtF5SL,21.6,18,22,23,1.8,6,2.5,4.5
치지직,라운지 초심자 a214547,22.6,21,21,25,1.5,5,2.6,3.9
치지직,구희수,23.2,24,24,22,2.9,4,1.7241379310344827,5
치지직,강 혜 성,23.8,25,23,24,2.1,3,1.9523809523809523,4.1
치지직,샘소프,25.8,25,26,26,1.4,3,1.0714285714285714,1.5
치지직,김맥피,27,27,27,27,0.3,2,1,0.3
치지직,나루다,27.2,28,27,27,0.3,1,1,0.3
