플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
치지직,양도운,40.8,21,9.573529411764707,390.6
치지직,하루 님,23.8,12,7.1722689075630255,170.7
치지직,너구리OwO,24.5,17,4.946938775510204,121.2
치지직,GrtF5SL,20.1,9,3.7761194029850746,75.9
치지직,뚜루쿤,14.2,11,4.084507042253521,58
치지직,명탄,7.4,11,5.472972972972973,40.5
치지직,무박이,16.3,7,2.4294478527607364,39.6
치지직,우묘,10.7,8,3.5514018691588785,38
치지직,냐아초,16,6,2.0625,33
치지직,물리몰리,10.3,7,2.8932038834951457,29.8
치지직,비빔밥워리어민철,7.5,8,3.546666666666667,26.6
치지직,망쵸,1.8,18,14.666666666666666,26.4
치지직,Y2R,10.5,6,2.5047619047619047,26.3
치지직,릴테이프,5.2,6,3.923076923076923,20.4
치지직,비올레티,2.1,12,8.380952380952381,17.6
치지직,삼하나31,4.8,8,3.5416666666666665,17
치지직,사초21,3.4,10,4.705882352941177,16
치지직,펄크라떼,2.2,7,4.454545454545454,9.8
치지직,피그루,3.2,8,3,9.6
치지직,링글스프,4.3,6,1.302325581395349,5.6
치지직,스노웁,0.9,7,6.111111111111111,5.5
치지직,시그 SIG,5.2,1,0.9615384615384616,5
치지직,안룡98,1.7,4,2.823529411764706,4.8
치지직,Earth hippo 하마,2.4,7,1.75,4.2
