플랫폼,스트리머,방송시간,최고시청자,평균시청자,뷰어십
치지직,더파이널스,5.7,382,249.17543859649123,1420.3
치지직,망쵸,13.8,21,13.173913043478262,181.8
치지직,하루 님,19.7,12,7.1725888324873095,141.3
치지직,양도운,14.4,17,5.986111111111111,86.2
치지직,삼하나31,13.7,13,5.335766423357664,73.1
치지직,뚜루쿤,12.3,10,4.560975609756097,56.1
치지직,사초21,11.2,8,4.125,46.2
치지직,피그루,6.8,9,3.9411764705882355,26.8
치지직,릴테이프,6.3,8,4.126984126984127,26
치지직,니호,2.2,11,8.772727272727273,19.3
치지직,시그 SIG,8.9,5,1.8314606741573034,16.3
치지직,무박이,7.5,5,1.9466666666666668,14.6
치지직,Bazzy2002,3.5,11,4.085714285714285,14.3
치지직,구희수,4.4,6,2.8636363636363638,12.6
치지직,곱창소녀,1.8,13,6.555555555555555,11.8
치지직,명탄,3.7,5,2.810810810810811,10.4
치지직,강 혜 성,4.1,5,2.2195121951219514,9.1
치지직,도타블,1.9,7,4.684210526315789,8.9
치지직,김파인애플,2,7,4.3,8.6
치지직,GrtF5SL,1.3,7,4.461538461538462,5.8
치지직,냐아초,2.7,4,2.037037037037037,5.5
치지직,우묘,3.7,4,1.4324324324324325,5.3
치지직,Earth hippo 하마,1.7,5,2.4705882352941178,4.2
치지직,카휘백,1.5,2,1.1333333333333333,1.7
치지직,비빔밥워리어민철,1.3,2,1.0769230769230769,1.4
치지직,LemonCandy,0.6,2,1.3333333333333333,0.8
치지직,당근숑,0.9,1,0.1111111111111111,0.1
치지직,라운지 초심자 a214547,0.2,1,0.5,0.1
치지직,예술개발자 혀니,1.5,1,0.06666666666666667,0.1
