플랫폼,날짜,방송시간,최고 활성 스트리머,평균 활성 스트리머,6분 최고채팅,6분 평균 채팅수,최고 시청자,평균 시청자,뷰어십 (평균*방송시간)
치지직,2026.02.02 (월),17,17,17,103,10,39,14,235
치지직,2026.01.26 (월),147.6,19,17,91,7,52,15,2165
치지직,2026.01.19 (월),152.5,21,16,83,6,49,13,2027
치지직,2026.01.12 (월),139.1,21,17,73,6,51,14,1881
치지직,2026.01.05 (월),120.1,19,14,169,6,42,13,1508
치지직,2025.12.29 (월),133.6,22,17,79,6,46,14,1819
치지직,2025.12.22 (월),131.3,18,14,119,6,49,11,1479
치지직,2025.12.15 (월),129.8,22,17,118,6,53,15,1982
치지직,2025.12.08 (월),141.9,22,17,115,8,45,14,1986
치지직,2025.12.01 (월),115.9,16,14,210,10,1324,49,5655
치지직,2025.11.24 (월),133.9,20,16,167,14,378,44,5880
치지직,2025.11.17 (월),143.5,22,19,170,12,356,35,5002
치지직,2025.11.10 (월),140.6,22,18,88,7,289,24,3323
치지직,2025.11.03 (월),135.9,20,18,90,9,279,21,2795
치지직,2025.10.27 (월),138.1,25,21,210,10,444,22,3015
SOOP,2025.10.20 (월),0.1,1,1,0,0,2,2,0
치지직,2025.10.20 (월),138.7,28,23,186,11,221,20,2835
치지직,2025.10.13 (월),145.4,22,18,121,10,291,21,3015
치지직,2025.10.06 (월),141.8,28,21,104,10,72,20,2806
치지직,2025.09.29 (월),146.3,25,22,96,11,59,18,2610
치지직,2025.09.22 (월),156.8,28,24,121,13,347,25,3988
치지직,2025.09.15 (월),152.4,24,23,118,13,246,24,3732
치지직,2025.09.08 (월),157.8,37,28,145,17,351,28,4382
치지직,2025.09.01 (월),154.1,29,26,114,14,289,25,3921
치지직,2025.08.25 (월),145.6,32,24,128,18,299,31,4517
치지직,2025.08.18 (월),147.7,28,22,118,15,70,22,3214
치지직,2025.08.11 (월),144.9,29,22,253,16,724,27,3905
치지직,2025.08.04 (월),132.1,28,23,142,13,271,22,2958
치지직,2025.07.28 (월),39.7,28,25,139,17,292,35,1377
